Game,Month,Year,Avg_Viewers,Avg_Players
Rust,February,2021,10511,117742.27
Rust,January,2021,22826,142117.25
Rust,December,2020,17765,61171.65
Rust,November,2020,27103,55408.03
Rust,October,2020,66073,48550.8
Rust,September,2020,256350,46430.53
Rust,August,2020,25853,53287.65
Rust,July,2020,8766,58238.72
Rust,June,2020,4281,50417.72
Rust,May,2020,4585,57344.65
Rust,April,2020,5900,67504.05
Rust,March,2020,6643,58442.03
Rust,February,2020,5993,50075.2
Rust,January,2020,5360,51620.39
Rust,December,2019,5205,49094.84
Rust,November,2019,6713,43507.96
Rust,October,2019,6872,46704.38
Rust,September,2019,3837,49636.12
Rust,August,2019,3670,58531.24
Rust,July,2019,3162,62259.96
Rust,June,2019,3048,45132.57
Rust,May,2019,3051,35780.66
Rust,April,2019,7516,38200.78
Rust,March,2019,5892,40725.29
Rust,February,2019,2868,42431.42
Rust,January,2019,2838,46201.3
Rust,December,2018,2591,42622.28
Rust,November,2018,3070,37706.36
Rust,October,2018,2180,31820.22
Rust,September,2018,2830,27319.2
Rust,August,2018,3181,31488.28
Rust,July,2018,5028,36659.19
Rust,June,2018,5476,30308.9
Rust,May,2018,2334,23893.78
Rust,April,2018,2574,26047.04
Rust,March,2018,3087,29074.81
Rust,February,2018,2456,33507.28
Rust,January,2018,1764,34668.81
Rust,December,2017,2263,32974
Rust,November,2017,2426,28147.23
Rust,October,2017,2793,25760.5
Rust,September,2017,2492,21595.41
Rust,August,2017,3183,25558.02
Rust,July,2017,3837,29563.1
Rust,June,2017,2067,29285.43
Rust,May,2017,1867,25380.27
Rust,April,2017,1751,28588.81
Rust,March,2017,1872,32438.98
Rust,February,2017,1928,36403.55
Rust,January,2017,1765,33999.91
Rust,December,2016,1870,28974.92
Rust,November,2016,2258,22879.2
Rust,October,2016,5105,24406.17
Rust,September,2016,2432,26269.79
Rust,August,2016,1575,30432.53
Rust,July,2016,1567,30949.75
Rust,June,2016,1234,25360.97
Rust,May,2016,1641,25497.88
Rust,April,2016,2205,25605.94
Rust,March,2016,4225,27267.6
Rust,February,2016,2020,32394.57
Rust,January,2016,2210,27647.06
